event_id,event_type,start_timestamp,end_timestamp,source_id,source_type,source_locator,source_publication_timestamp,documentation_status,severity_class,timestamp_precision,boundary_uncertainty,notes
EVT-2021-05-19,DOWNSIDE_DISLOCATION,2021-05-19T00:00:00Z,2021-05-20T00:00:00Z,SRC-001,reputable_time_stamped_news_archive,https://www.investing.com/news/forex-news/bitcoin-ethereum-plunge-crypto-market-cap-losses-nearly-1-trillion-2510923,2021-05-19T13:46:00Z,CONFIRMED,SYSTEMIC,DAY,PLUS_MINUS_4_HOURS,Market-wide drawdown with sector market-cap losses approaching $1 trillion; supporting_source_ids=SRC-001.
EVT-2021-09-07,EXCHANGE_OR_VENUE_DISRUPTION,2021-09-07T16:00:00Z,2021-09-08T00:00:00Z,SRC-002,reputable_time_stamped_news_archive,https://www.investing.com/news/economy/cryptocurrency-prices-tumble-and-exchange-trading-falters-as-snags-crop-up-2609964,2021-09-07T21:24:00Z,CONFIRMED,MAJOR,HOUR,PLUS_MINUS_4_HOURS,Price plunge accompanied by transaction delays and exchange performance problems; supporting_source_ids=SRC-002.
EVT-2021-12-04,LIQUIDATION_CASCADE,2021-12-04T00:00:00Z,2021-12-05T00:00:00Z,SRC-003,reputable_time_stamped_news_archive,https://www.investing.com/news/forex-news/bitcoin-extends-downtrend-falls-121-to-47176-2699562,2021-12-04T05:56:00Z,CONFIRMED,MAJOR,DAY,PLUS_MINUS_4_HOURS,Weekend flash selloff with broad forced liquidations; supporting_source_ids=SRC-003.
EVT-2022-05-TERRA,MARKET_STRUCTURE_BREAK,2022-05-07T00:00:00Z,2022-05-13T23:59:59Z,SRC-004,reputable_time_stamped_news_archive,https://reuters.screenocean.com/record/1855362,2022-05-13T11:40:00Z,BOUNDARY_UNCERTAIN,SYSTEMIC,DAY,MULTI_DAY_DEPEG_AND_COLLAPSE_PHASE,TerraUSD depeg and Luna collapse unfolded over several days; supporting_source_ids=SRC-004|SRC-005.
EVT-2022-06-CREDIT,CROSS_MARKET_CONTAGION,2022-06-12T22:00:00Z,2022-07-02T00:00:00Z,SRC-006,reputable_time_stamped_news_archive,https://www.euronews.com/next/2022/06/13/bitcoin-drops-below-25000-crypto-lending-platform-celsius-halts-withdrawals-and-transfers,2022-06-13T08:50:00Z,BOUNDARY_UNCERTAIN,SYSTEMIC,HOUR,MULTI_ENTITY_CONTAGION_PHASE,Celsius withdrawal suspension and Three Arrows Capital distress formed an extended crypto-credit contagion phase; supporting_source_ids=SRC-006|SRC-007.
EVT-2022-11-FTX,CROSS_MARKET_CONTAGION,2022-11-02T00:00:00Z,2022-11-11T23:59:59Z,SRC-008,reputable_time_stamped_news_archive,https://www.reuters.com/technology/events-leading-up-ftx-founder-sam-bankman-frieds-conviction-2024-03-28/,2024-03-28T00:00:00Z,BOUNDARY_UNCERTAIN,SYSTEMIC,DAY,DISCLOSURE_TO_BANKRUPTCY_PHASE,Window begins with the documented Alameda balance-sheet disclosure and ends after FTX bankruptcy filing; supporting_source_ids=SRC-008|SRC-009.
EVT-2023-03-USDC,MARKET_STRUCTURE_BREAK,2023-03-10T21:00:00Z,2023-03-13T12:00:00Z,SRC-010,official_market_operator,https://www.circle.com/pressroom/3-3-billion-of-usdc-reserve-risk-removed-dollar-de-peg-closes,2023-03-13T00:00:00Z,CONFIRMED,MAJOR,HOUR,PLUS_MINUS_4_HOURS,USDC secondary-market depeg following SVB receivership and weekend primary-market constraints; supporting_source_ids=SRC-010|SRC-011.
EVT-2023-08-17,LIQUIDATION_CASCADE,2023-08-17T20:00:00Z,2023-08-18T04:00:00Z,SRC-012,reputable_time_stamped_news_archive,https://www.investing.com/news/forex-news/bitcoin-falls-72-to-26634-3156922,2023-08-17T21:53:00Z,CONFIRMED,MAJOR,HOUR,PLUS_MINUS_2_HOURS,Rapid deleveraging and more than $1 billion in reported market liquidations; supporting_source_ids=SRC-012|SRC-013.
EVT-2024-03-05,LIQUIDATION_CASCADE,2024-03-05T15:00:00Z,2024-03-06T00:00:00Z,SRC-014,reputable_time_stamped_news_archive,https://www.theblock.co/post/280655/bitcoin-liquidations-surge-as-btc-retreats-sharply-from-new-all-time-high,2024-03-05T17:30:00Z,CONFIRMED,DOCUMENTED,HOUR,PLUS_MINUS_2_HOURS,"Sharp reversal immediately after bitcoin reached a new high, with leveraged long liquidations; supporting_source_ids=SRC-014."
EVT-2024-04-13,CROSS_MARKET_CONTAGION,2024-04-13T18:00:00Z,2024-04-14T04:00:00Z,SRC-015,reputable_time_stamped_news_archive,https://www.marketwatch.com/story/cryptocurrencies-plunge-as-iran-begins-attack-against-israel-b88450ed,2024-04-13T23:00:00Z,CONFIRMED,MAJOR,HOUR,PLUS_MINUS_4_HOURS,Crypto selloff during the Iran-Israel attack escalation; supporting_source_ids=SRC-015.
EVT-2024-08-05,CROSS_MARKET_CONTAGION,2024-08-04T12:00:00Z,2024-08-06T00:00:00Z,SRC-016,reputable_time_stamped_news_archive,https://www.reuters.com/technology/bitcoin-falls-569-58987-2024-08-04/,2024-08-05T14:00:08Z,CONFIRMED,SYSTEMIC,HOUR,PLUS_MINUS_4_HOURS,Global risk-asset and carry-trade unwind with bitcoin and ether at multi-month lows; supporting_source_ids=SRC-016|SRC-017.
EVT-2024-12-05,LIQUIDATION_CASCADE,2024-12-05T00:00:00Z,2024-12-05T12:00:00Z,SRC-018,reputable_time_stamped_news_archive,https://www.marketwatch.com/story/bitcoin-had-a-brief-flash-crash-what-that-means-for-the-latest-rally-faba6d2a,2024-12-06T00:00:00Z,CONFIRMED,DOCUMENTED,HOUR,PLUS_MINUS_2_HOURS,"Brief flash crash after bitcoin crossed $100,000, associated with perpetual-futures liquidations; supporting_source_ids=SRC-018."
EVT-2025-02-03,CROSS_MARKET_CONTAGION,2025-02-02T12:00:00Z,2025-02-03T16:00:00Z,SRC-019,reputable_time_stamped_news_archive,https://www.reuters.com/markets/currencies/bitcoin-slides-below-100000-tariffs-rattle-markets-2025-02-02/,2025-02-03T03:03:44Z,CONFIRMED,MAJOR,HOUR,PLUS_MINUS_4_HOURS,Weekend tariff shock transmitted through continuously traded crypto markets and produced a large leverage wipeout; supporting_source_ids=SRC-019|SRC-020.
EVT-2025-02-21-BYBIT,EXCHANGE_OR_VENUE_DISRUPTION,2025-02-21T14:00:00Z,2025-02-23T09:00:00Z,SRC-021,exchange_or_venue_notice,https://www.bybit.com/en/learn/this-week-in-bybit/bybit-security-incident-timeline,2025-03-03T00:00:00Z,CONFIRMED,MAJOR,HOUR,PLUS_MINUS_2_HOURS,Bybit cold-wallet exploit followed by exceptional withdrawal demand and return to normal withdrawal levels; supporting_source_ids=SRC-021|SRC-022.
EVT-2025-10-10,LIQUIDATION_CASCADE,2025-10-10T20:00:00Z,2025-10-11T12:00:00Z,SRC-023,reputable_time_stamped_news_archive,https://www.reuters.com/world/asia-pacific/after-record-crypto-crash-rush-hedge-against-another-freefall-2025-10-13/,2025-10-13T21:17:18Z,CONFIRMED,SYSTEMIC,HOUR,PLUS_MINUS_2_HOURS,Record leveraged-position liquidation following a tariff and export-control announcement; supporting_source_ids=SRC-023.
EVT-2026-02-RISKOFF,CROSS_MARKET_CONTAGION,2026-02-01T00:00:00Z,2026-02-06T23:59:59Z,SRC-024,reputable_time_stamped_news_archive,https://www.reuters.com/markets/wealth/crypto-market-volatility-triggers-25-billion-bitcoin-liquidations-2026-02-02/,2026-02-02T20:24:25Z,BOUNDARY_UNCERTAIN,SYSTEMIC,DAY,MULTI_DAY_MACRO_RISKOFF_PHASE,"Multi-day crypto capitulation linked to global risk-off selling, technology weakness, precious-metals volatility and forced liquidations; supporting_source_ids=SRC-024|SRC-025|SRC-026."
EVT-2026-02-BLOCKFILLS,FUNDING_STRESS,2026-02-05T00:00:00Z,2026-02-11T23:59:59Z,SRC-027,reputable_time_stamped_news_archive,https://www.reuters.com/legal/government/crypto-lender-blockfills-suspends-withdrawals-amid-faltering-bitcoin-price-2026-02-11/,2026-02-11T00:00:00Z,BOUNDARY_UNCERTAIN,DOCUMENTED,DAY,WITHDRAWAL_PAUSE_START_REPORTED_RETROSPECTIVELY,Institutional crypto lender and liquidity provider suspended deposits and withdrawals during the February risk-off episode; exact pause start was reported retrospectively; supporting_source_ids=SRC-027.
